id,name,type,tags,prompt
C-001,Strike,Attack,Core,"Cyberpunk card art. A circuit-wrapped fist drives a data-spike into a shattering dark panel; hot-orange sparks spray at the impact point. Minimal Core composition — single red glow halo, clean matte surface. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
C-002,Guard,Defense,Core;Firewall,"Cyberpunk card art. A flat hexagonal cyan shield assembles from crystalline data-fragments, thin blue arcs bridging each tile as they lock together. Firewall accent: hex-tiles cascading inward from the frame edges. Core finish — single cyan glow, matte. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
C-003,Patch,Support,Core;Nanoflow,"Cyberpunk card art. Soft bioluminescent nanite streams flow inward from all edges, coalescing into a pulsing amber-green repair node at centre. Nanoflow accent: warm teal-amber flowing light-rivers. Core finish — single green glow, matte. Support colour #00FF88. Dark background. No text. No card border. Portrait."
C-004,Scan,Utility,Core,"Cyberpunk card art. A violet AR scan beam sweeps across a dark circuit panel, outlining data structures and hidden packets in wireframe. Core finish — single violet glow, clean and minimal. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
C-005,Ricochet,Attack,Core,"Cyberpunk card art. A hot-orange data-bolt caroms off a reflective surface mid-flight, leaving a bright arc trail burned into the panel. Motion lines trace the ricochet path. Core finish — single red glow, matte. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
C-006,Charge Pack,Utility,Core,"Cyberpunk card art. A compact RAM crystal battery pack glows at full charge; spiralling arcs of electricity coil around it as it reaches capacity. Core finish — single violet glow, clean composition. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
C-007,Countermeasure,Defense,Core,"Cyberpunk card art. A silhouette braces behind a reactive cyan burst-shield that flares outward at the exact moment an incoming strike connects, deflecting it. Core finish — single cyan glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
C-008,Sweep Pulse,Attack,Core,"Cyberpunk card art. A wide horizontal red-orange pulse wave sweeps outward from a central emitter, clipping multiple dark target silhouettes along its arc. Core finish — single red glow, matte. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
C-009,Antivirus Lockout,Utility,Core,"Cyberpunk card art. A glowing red biohazard-symbol padlock slams shut over a corrupted process icon, sealing it completely in a hard clamp of red light. Core finish — single amber glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
C-010,Scatterfire,Attack,Core,"Cyberpunk card art. Multiple small red data-rounds spray outward in a wide fan from a barrel, each trailing a short orange arc in a scattered burst pattern. Core finish — single red glow, minimal. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-001,Burst Shot,Attack,,"Cyberpunk card art. A heavy cylindrical launcher fires a dense concentrated orange-red energy burst; a full muzzle-flash blooms at the barrel tip with depth-of-field blur on the background. Standard finish — two-tone red/orange edge glow, light circuit texture. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-002,Ping Storm,Attack,,"Cyberpunk card art. Dozens of tiny red data-pings rain down like digital hailstones toward a glowing target outline below, each leaving a short trail. Standard finish — two-tone red/orange glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-003,Firewall Patch,Defense,Firewall,"Cyberpunk card art. A hexagonal energy wall assembles from crystalline blue data-blocks; electric arcs bridge each glowing tile as they slot into place. Firewall accent: hex-tiles cascading in from both frame edges meeting in the middle. Standard finish — two-tone cyan and electric-blue glow. Defense colour #00CCDD. Dark background. No text. No card border. Portrait."
NC-004,Quick Patch,Support,Nanoflow,"Cyberpunk card art. Compact amber-green nanite streams rush inward from the frame edges, converging and visibly sealing damage in real time. Nanoflow accent: warm glowing streams in tight ribbons. Standard finish — two-tone green/teal glow. Support colour #00FF88. Dark background. No text. No card border. Portrait."
NC-005,Corrode Dart,Attack,Corrode,"Cyberpunk card art. A sleek black needle-dart trailing acid-green fluid is captured mid-flight; a spreading splash of corrosion blooms at the impact point. Corrode accent: acid-green dripping liquid eating into circuit panel. Standard finish — red and acid-green dual-tone glow. Attack colour #CC2200. Dark background. No text. No card border. Portrait."
NC-006,Underclock Nudge,Utility,Underclock,"Cyberpunk card art. Ice-blue frost creeps across enemy circuit traces, slowing their pulse — crystalline ice formations spreading across glowing data-pathways. Underclock accent: frozen frost over circuits, slowed particle effects. Standard finish — violet and ice-blue dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-007,Port Probe,Utility,Exposed Ports,"Cyberpunk card art. A slender scanning probe finds and highlights open data-ports on an enemy chassis, marking each socket with a glowing amber indicator ring. Standard finish — violet and amber dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-008,Sensor Scramble,Utility,Sensor Glitch,"Cyberpunk card art. A jammer device emits concentric interference rings outward, distorting a radar overlay into false echo returns and ghost contacts. Sensor Glitch accent: radar/sonar display with false echo rings. Standard finish — violet and static-grey dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-009,Spoof Ping,Utility,Target Spoof,"Cyberpunk card art. A ghosted double-exposure of a cyborg target: one solid silhouette and one translucent decoy offset beside it, with interference rings rippling outward. Target Spoof accent: ghost/mirror double-exposure effect. Standard finish — violet and silver-white dual glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
NC-010,RAM Sip,Utility,,"Cyberpunk card art. A small RAM crystal is partially siphoned — a gentle trickle of violet energy restoring a slim 3 units to a visible gauge. Simple composed close-up. Standard finish — violet glow. Utility colour #8844FF. Dark background. No text. No card border. Portrait."
