id,name,tier,stackable
A-01,Residual Heat,A,true
A-02,Cold Start,A,true
A-03,Minor Underclock,A,true
A-04,Dirty Registers,A,true
A-05,Shallow Buffer,A,true
A-06,Bleedthrough,A,true
A-07,Latency Spike,A,true
A-08,Backscatter,A,true
A-09,Unstable Numbers,A,true
A-10,Trace Decay,A,true
B-01,Flat Degradation,B,true
B-02,Mutation Acceleration,B,true
B-03,Execution Recoil,B,true
B-04,RAM Tax,B,true
B-05,Signal Loss,B,true
B-06,Diminishing Output,B,true
B-07,Contaminated Logic,B,true
B-08,Thermal Stress,B,true
B-09,Data Leak,B,true
B-10,Instability Marker,B,true
C-01,Heavy Runtime,C,true
C-02,Deferred Execution,C,true
C-03,Mutation Spill,C,true
C-04,Unstable Payment,C,true
C-05,Corrupt Idle State,C,true
C-06,Cross-Talk,C,true
C-07,Destructive Precision,C,true
C-08,RAM Bleed,C,true
C-09,State Contamination,C,true
C-10,Execution Debt,C,true
D-01,RAM Collapse,D,true
D-02,Execution Backblast,D,true
D-03,Forced Priority,D,true
D-04,Mutation Spike,D,true
D-05,Volatile Copy,D,true
D-06,Delayed Recoil,D,true
D-07,Contagion Window,D,true
D-08,Hostile Runtime,D,true
D-09,System Lock,D,true
D-10,Total Throughput Loss,D,true
E-01,Turn Compression,E,true
E-02,Shared Throughput,E,true
E-03,Inverted Targeting,E,true
E-04,Damage Dispersion,E,true
E-05,Delayed Resolution,E,true
F-01,Cost Scramble,F,true
F-02,Reverse Commit,F,true
F-03,Unstable Timing,F,true
F-04,Choke If Unused,F,true
F-05,Choke If Used,F,true
G-01,Core Failure,G,true
G-02,Effect Drift,G,true
G-03,Ability Bleed,G,true
G-04,False Familiarity,G,true
G-05,Role Collapse,G,true
H-01,Narrow Execution,H,true
H-02,Conditional Safety,H,true
H-03,Health Threshold Lock,H,true
H-04,Enemy State Dependency,H,true
H-05,Sequencing Trap,H,true
H-06,Sequence Slot Lock,H,true
H-07,Afterimage Window,H,true
I-01,System Shock,I,true
I-02,RAM Hemorrhage,I,true
I-03,Execution Fallout,I,true
I-04,Collateral Damage,I,true
I-05,Terminal Instability,I,true
I-06,Doubled Decay,I,true
J-01,Bricked,J,true
J-02,Deadweight Runtime,J,true
J-03,Meltdown,J,true
J-04,Network Hop,J,true
J-05,Hand Lock,J,true
A+01,Stabilised Registers,A,true
A+02,Safe Execution,A,true
A+03,Low-Friction Runtime,A,true
A+04,Predictable Timing,A,true
A+05,Quarantine Switch,A,true
B+01,RAM Buffering,B,true
B+02,Sequencing Anchor,B,true
B+03,Mutation Sink,B,true
B+04,Deferred Liability,B,true
B+05,Rapid Troubleshooting,B,true
C+01,Controlled Spillover,C,true
C+02,Forced Ejection,C,true
C+03,Deferred Finalisation,C,true
C+04,State Conversion,C,true
C+05,Functional Degradation,C,true
D+01,System Stabiliser,D,true
D+02,Perfect Recall,D,true
D+03,Last Safe Commit,D,true
D+04,Sacrificial Offload,D,true
D+05,Rollback Protocol,D,true
D+06,Unsafe Recovery,D,true
E+01,Priority Channel,E,true
E+02,Guaranteed Throughput,E,true
E+03,Damage Reroute,E,true
E+04,Temporal Override,E,true
E+05,Shared Burden,E,true
