id,name,actMin,actMax,difficultyTier,difficulty,primaryPurpose,maxHP,actionsPerTurn,handSize,notes
E_HACKER_DRONE,Hacker Drone,1,2,Normal,4.0,Attack,65,1,3,Pure attack + death pressure; kill-order puzzle.
E_FIREWALL_POD,Firewall Pod,1,1,Easy,3.8,Defense/Tank,51,1,4,Teaches Firewall; slows fight without being tricky.
E_PATCH_SPRITE,Patch Sprite,1,1,Easy,3.2,Support/Heal,35,1,4,Extends fights; forces focus decisions.
E_SIGNAL_IMP,Signal Imp,1,1,Normal,4.5,Control,64,1,4,Disrupts planning without hard-locks.
E_CORRODE_RAT,Corrode Rat,1,2,Normal,4.2,Debuff/DoT,61,1,4,Anti-turtle; pushes tempo.
E_LEAK_WRAITH,Leak Wraith,1,2,Normal,4.8,Debuff/DoT,61,1,4,Sequencing tax enemy.
E_SCRAP_MINION,Scrap Minion,1,1,Minion,1.0,Minion,12,1,3,Fast-clear add.
E_PULSE_SAPPER_ARRAY,Pulse Sapper Array,1,2,Normal,5.4,Attack,65,1,3,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CHROME_CLERIC_PROTOCOL,Chrome Cleric Protocol,1,1,Easy,4.2,Control,41,1,4,"Memorisable pool (6) with tiny deck variance (2/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_VECTOR_RAT_MK_III,Vector Rat Mk III,1,1,Easy,4.2,Support/Heal,35,1,4,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_OBSIDIAN_BRUISER_PACK,Obsidian Bruiser Pack,1,1,Normal,7.6,Defense/Tank,76,1,4,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_GLITCH_RUNNER_NODE,Glitch Runner Node,1,2,Normal,5.5,Attack,65,1,3,"Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_PULSE_SHAMAN_MK_I,Pulse Shaman Mk I,1,1,Easy,4.5,Control,41,1,4,"Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_ECHO_IMP_MK_II,Echo Imp Mk II,1,1,Easy,3.1,Support/Heal,35,1,4,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_VANTA_SENTINEL_PROTOCOL,Vanta Sentinel Protocol,1,1,Normal,6.8,Defense/Tank,76,1,4,"Memorisable pool (5) with tiny deck variance (2/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_GHOST_DAEMON_SWARM,Ghost Daemon Swarm,1,1,Easy,3.2,Attack,43,1,3,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CIPHER_POD_SHARD,Cipher Pod Shard,1,3,Hard,15.1,Attack,85,1,3,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_VANTA_DRONE_MK_III,Vanta Drone Mk III,1,1,Easy,4.6,Economy pressure,38,1,3,"Memorisable pool (5) with tiny deck variance (4/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
